lat,lon,ym,BC_AOD,SU_AOD,DU_AOD,DU_AOD_pm25,T2m,T850,T500,T250,QV2M,Q850,Q500,Q250,elevation
29.0,79.375,1988-09-01,0.01219897,0.08159787,0.0764075,0.042630523,26.881700000000023,293.59424,269.75085,236.46674,0.018553745,0.013498884,0.0022765943,0.00018573363,215.8316
29.0,79.375,1988-10-01,0.009966478,0.04046527,0.045316193,0.026769308,23.56030000000004,291.5503,264.65744,233.00188,0.010996519,0.007160193,0.00026112972,4.275232e-05,215.8316
29.0,79.375,1988-11-01,0.013092072,0.034679297,0.027622106,0.017027339,19.773650000000032,287.5772,260.5176,226.84114,0.00600479,0.0041627637,0.00030375508,3.8585848e-05,215.8316
29.0,79.375,1988-12-01,0.013293908,0.053919222,0.032125834,0.019561216,16.52230000000003,285.15784,260.2156,224.12566,0.0048666247,0.003513012,0.0006596381,8.487472e-05,215.8316
29.0,79.375,1989-01-01,0.009141591,0.032309502,0.03523193,0.021625206,13.135800000000016,282.61948,258.93115,230.28525,0.0040757535,0.002518625,0.00041466858,4.2443244e-05,215.8316
29.0,79.375,1989-02-01,0.0075164135,0.029740782,0.09033101,0.052638,16.30197000000004,284.3258,256.73813,228.46953,0.0039751576,0.0026506747,0.00048149045,4.683365e-05,215.8316
29.0,79.375,1989-03-01,0.01141375,0.04738103,0.10158044,0.060119085,22.45050000000004,289.08258,258.81216,224.00175,0.0051285117,0.0038931735,0.00093806867,6.404648e-05,215.8316
29.0,79.375,1989-04-01,0.007813863,0.027235989,0.13139829,0.075469315,28.559230000000014,294.6747,261.72192,228.49603,0.0035271926,0.0028938742,0.0008149334,6.4121254e-05,215.8316
29.0,79.375,1989-05-01,0.010013144,0.052770883,0.21576613,0.12208061,34.1343,299.39935,265.2245,233.61955,0.004814473,0.004335041,0.00097018183,7.9902995e-05,215.8316
29.0,79.375,1989-06-01,0.012374546,0.067886375,0.22330871,0.12412981,35.063260000000014,298.7876,268.52457,237.94447,0.01084538,0.009436004,0.0024929296,0.00014910019,215.8316
29.0,79.375,1989-07-01,0.014114329,0.09107164,0.15170534,0.08350021,32.201750000000004,296.0636,271.44504,239.16527,0.01587215,0.013696467,0.004163157,0.00035349245,215.8316
29.0,79.375,1989-08-01,0.013223938,0.09573741,0.08235501,0.046474557,30.08462000000003,294.42554,270.79883,238.2838,0.017546322,0.014859901,0.004845265,0.00041078508,215.8316
29.0,79.375,1989-09-01,0.013062715,0.07651835,0.062248763,0.03533126,28.41216000000003,294.26233,269.86365,236.78694,0.016008768,0.012216246,0.0019750502,0.00017070754,215.8316
29.0,79.375,1989-10-01,0.0122044105,0.037711415,0.051906057,0.030824078,25.540980000000047,292.96298,264.1314,231.77339,0.0067902147,0.0044278763,0.00040963633,4.7436293e-05,215.8316
